Goodland, Kansas, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195912,50.3,-1.0
196012,49.9,-1.4
196112,49.5,-1.8
196212,51.3,0.0
196312,52.8,1.5
196412,51.0,-0.3
196512,50.5,-0.8
196612,50.6,-0.7
196712,50.6,-0.7
196812,51.0,-0.3
196912,51.0,-0.3
197012,51.3,0.0
197112,51.0,-0.3
197312,50.1,-1.2
197412,50.7,-0.6
197512,50.7,-0.6
197612,51.2,-0.1
197712,51.8,0.5
197812,48.4,-2.9
197912,50.5,-0.8
198012,51.5,0.2
198212,50.0,-1.3
198312,50.6,-0.7
198412,49.6,-1.7
198512,49.9,-1.4
198612,53.6,2.3
198712,52.3,1.0
198812,52.0,0.7
198912,50.7,-0.6
199012,52.1,0.8
199112,52.4,1.1
199212,50.5,-0.8
199312,48.0,-3.3
199412,51.2,-0.1
199612,49.9,-1.4
199712,49.9,-1.4
199812,52.0,0.7
199912,52.4,1.1
200012,52.0,0.7
200112,52.6,1.3
200212,52.3,1.0
200312,52.5,1.2
200412,52.2,0.9
200512,53.0,1.7
200712,51.0,-0.3
200912,50.2,-1.1
201012,51.9,0.6
201112,51.4,0.1
201212,54.6,3.3
201312,51.2,-0.1
201412,50.9,-0.4
