Juneau, Alaska, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195912,40.4,-0.4
196112,40.8,0.0
196212,40.5,-0.3
196312,41.5,0.7
196512,39.3,-1.5
196612,37.2,-3.6
196712,39.8,-1.0
196812,39.3,-1.5
196912,38.9,-1.9
197012,39.0,-1.8
197112,38.1,-2.7
197212,37.4,-3.4
197312,38.3,-2.5
197412,39.6,-1.2
197512,39.3,-1.5
197612,42.1,1.3
197712,42.7,1.9
197812,41.7,0.9
197912,40.2,-0.6
198012,41.6,0.8
198112,43.5,2.7
198212,39.4,-1.4
198312,41.4,0.6
198612,42.6,1.8
198712,43.8,3.0
198812,42.4,1.6
198912,42.2,1.4
199012,41.2,0.4
199112,42.3,1.5
199212,42.6,1.8
199312,44.1,3.3
199412,41.4,0.6
199512,42.0,1.2
199612,40.1,-0.7
199712,44.0,3.2
199812,42.4,1.6
199912,42.1,1.3
200012,41.9,1.1
200112,42.0,1.2
200212,41.9,1.1
200312,42.0,1.2
200412,43.6,2.8
200512,43.4,2.6
200612,40.2,-0.6
200712,41.0,0.2
200812,40.1,-0.7
200912,41.2,0.4
201012,42.7,1.9
201112,40.6,-0.2
201212,40.2,-0.6
201312,42.4,1.6
201412,43.1,2.3
