San Francisco, California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195912,59.3,2.3
196012,57.0,0.0
196112,57.1,0.1
196212,55.8,-1.2
196312,56.4,-0.6
196412,56.4,-0.6
196512,55.5,-1.5
196612,56.2,-0.8
196712,56.9,-0.1
196812,56.7,-0.3
196912,56.9,-0.1
197012,57.6,0.6
197112,55.6,-1.4
197212,56.4,-0.6
197312,56.8,-0.2
197412,56.4,-0.6
197512,55.4,-1.6
197612,56.8,-0.2
197712,56.7,-0.3
197812,57.3,0.3
197912,57.6,0.6
198012,57.1,0.1
198112,57.7,0.7
198212,55.9,-1.1
198312,58.6,1.6
198412,58.5,1.5
198512,57.0,0.0
198612,58.3,1.3
198712,58.7,1.7
198812,58.6,1.6
198912,57.5,0.5
199012,57.9,0.9
199112,57.6,0.6
199212,59.7,2.7
199312,59.1,2.1
199412,56.9,-0.1
199512,58.2,1.2
199612,58.6,1.6
199712,59.6,2.6
199812,57.3,0.3
199912,56.7,-0.3
200012,58.1,1.1
200112,57.8,0.8
200212,58.0,1.0
200312,58.6,1.6
200412,59.2,2.2
200512,58.7,1.7
200612,57.7,0.7
200712,57.5,0.5
200812,57.6,0.6
200912,58.1,1.1
201012,58.6,1.6
201112,56.9,-0.1
201212,57.5,0.5
201312,58.0,1.0
201412,62.0,5.0
