Seattle, Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
195912,50.9,-0.8
196012,50.7,-1.0
196112,52.0,0.3
196212,50.9,-0.8
196312,51.8,0.1
196412,50.0,-1.7
196512,52.6,0.9
196612,51.8,0.1
196712,53.2,1.5
196812,52.4,0.7
196912,52.3,0.6
197012,51.8,0.1
197112,50.6,-1.1
197212,51.1,-0.6
197312,51.6,-0.1
197412,52.4,0.7
197512,51.2,-0.5
197612,52.4,0.7
197712,53.0,1.3
197812,52.5,0.8
197912,53.0,1.3
198012,51.3,-0.4
198112,52.6,0.9
198212,51.3,-0.4
198312,52.7,1.0
198412,51.5,-0.2
198512,49.9,-1.8
198612,52.8,1.1
198712,53.7,2.0
198812,52.4,0.7
198912,52.4,0.7
199012,52.3,0.6
199112,52.8,1.1
199212,54.3,2.6
199312,52.2,0.5
199412,53.4,1.7
199512,54.4,2.7
199612,51.8,0.1
199712,52.5,0.8
199812,53.0,1.3
199912,51.4,-0.3
200012,51.5,-0.2
200112,51.2,-0.5
200212,51.6,-0.1
200312,53.0,1.3
200412,53.4,1.7
200512,52.8,1.1
200612,53.2,1.5
200712,52.0,0.3
200812,51.4,-0.3
200912,52.1,0.4
201012,52.7,1.0
201112,51.0,-0.7
201212,52.3,0.6
201312,53.7,2.0
201412,55.0,3.3
