Wichita, Kansas, Precipitation, January-December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
195912,33.61,4.36
196012,36.80,7.55
196112,39.29,10.04
196212,32.56,3.31
196312,28.11,-1.14
196412,34.22,4.97
196512,38.98,9.73
196612,12.16,-17.09
196712,23.46,-5.79
196812,33.45,4.20
196912,34.17,4.92
197012,25.29,-3.96
197112,29.61,0.36
197212,23.32,-5.93
197312,41.96,12.71
197412,28.55,-0.70
197512,29.65,0.40
197612,23.57,-5.68
197712,35.78,6.53
197812,22.30,-6.95
197912,28.72,-0.53
198012,20.49,-8.76
198112,27.68,-1.57
198212,27.16,-2.09
198312,36.71,7.46
198412,28.36,-0.89
198512,33.63,4.38
198612,31.30,2.05
198712,38.56,9.31
198812,17.08,-12.17
198912,34.70,5.45
199012,19.71,-9.54
199112,26.78,-2.47
199212,35.39,6.14
199312,33.13,3.88
199412,24.89,-4.36
199512,34.49,5.24
199612,28.50,-0.75
199712,37.05,7.80
199812,34.68,5.43
199912,45.47,16.22
200012,31.85,2.60
200112,24.52,-4.73
200212,33.47,4.22
200312,32.61,3.36
200412,37.83,8.58
200512,36.75,7.50
200612,29.38,0.13
200712,37.99,8.74
200812,53.83,24.58
200912,37.59,8.34
201012,28.18,-1.07
201112,26.08,-3.17
201212,25.02,-4.23
201312,40.48,11.23
201412,25.62,-3.63
